Time,UC261,UC262,UC264,UC266,UC275,External Location
8:30 - 9:00,,,,,Check-In and Light Breakfast,
9:00 - 9:15,,,,,Welcome and Opening Remarks - Chancellor King,
9:30 - 10:10,Using AI to Increase Instructor-to-Student Interaction (Jon Spike),Fostering Entrepreneurialship in the Classroom (Steven Girard),Reducing Student Cognitive Load and Boosting Motivation through Course Scaffolding (Kim Ehrhardt),Constructing Phenomena-Centered Instructional Resources for Future Teachers (Adam Schafer),,
10:20 - 11:00,AI for Neurodivergent Learners (Michael Betker),"Designing for Autonomy: Cycled, Community-Connected Courses (Veronica Sofia-Martinez)",The Syllabus as a Genre (Amy Menzel),Using GIS to Empower Student Autonomy and Learning (Jeff Olson + Eric Compas),,
11:10 - 11:50,AI Tools For Student Engagement (Nicole Weber/Jon Spike + Brian Schanen/Camden Harlan),Hand-Drawn Geology for Deeper Observation (Juk Bhattacharyya),Optimizing Software for Student Learning (Davazdahemami Behrooz + Amin Aslani),Student Take-Aways from Faculty-Led Travel Programs (Sue Wildermuth/Amal Ibrahim),,
12:00 - 12:20,,,,,Lunch,
12:30 - 1:30,,,,,From I See You to I Wish They Knew: Reflections on Higher Education (Keynote Speaker: Dr. Robin Fox),
1:30 - 2:10,,,,,Teaching and Learning Grant Poster Session,
2:20 - 3:00,AI-Enhanced Course Design (Matt Baier + David Simkins),Using Simulations to Encourage Authentic Learning (Larry Anderson),"Promoting Civil Discourse: Empathy, Humility, and Dialogue (Mastewal Seyeneh)",Pushing Back Against Overreliance on AI: Implementing the R.E.A.C.H. for Integrity Campaign (Dan Stalder),,
3:10 - 3:50,"Using an AI Teaching Assistant: Ups, downs, and student outcomes (David Beyea)",Teaching Professionalism and Career Readiness (Lynn Gilbertson/Cody Busch + Kim Apel/Pilar Joseph/Grace Peterson/Tarryl Janik(),Feedback Reimagined: Moving from Surveys to Solutions (Heather Pelzel/Kim Naber),Leveraging Navigate for Student Success (Jess S./Esther F./Nathan C.),,
4:00 - 4:30,,,,,"Closing Events and Dessert Bar: John Stone Award Presentation, Swag Bags",
4:45 - 6:00,,,,,,After Party / Networking at Second Salem
